phylum,class,genus,species,form,sample,image_name,image_info,image_url
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Unfertilized egg,feces,Ascaris_egg_unfert.jpg,Unfertilized egg of A. lumbricoides. Note the prominent mammillations on the outer layer.,https://www.cdc.gov//dpdx/ascariasis/images/1/Ascaris_egg_unfert.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Unfertilized egg,feces,Ascaris_egg_unfert2_200x.jpg,"Unfertilized egg of A. lumbricoides in an unstained wet mount, 200x magnification.",https://www.cdc.gov//dpdx/ascariasis/images/1/Ascaris_egg_unfert2_200x.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Unfertilized egg,feces,Ascaris_lumbrcoides_infertile_BAM1.jpg,Unfertilized egg of A. lumbricoides in an unstained wet mount of stool.,https://www.cdc.gov//dpdx/ascariasis/images/1/Ascaris_lumbrcoides_infertile_BAM1.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Unfertilized egg,feces,Ascaris_egg_unfert_decort_200x.jpg,Unfertilized egg of A. lumbricoides in a wet mount of stool. Note this specimen lacks the mammillated layer (decorticated).,https://www.cdc.gov//dpdx/ascariasis/images/1/Ascaris_egg_unfert_decort_200x.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Infertile decorticated egg,feces,A_lumbricoides_infert_Leiden_A.jpg,"Infertile, decorticated egg of Ascaris lumbricoides. Image courtesy of The Leiden University Medical Center, The Netherlands.",https://www.cdc.gov//dpdx/ascariasis/images/1/A_lumbricoides_infert_Leiden_A.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Infertile decorticated egg,feces,A_lumbricoides_infert_Leiden_B.jpg,"Infertile, decorticated egg of Ascaris lumbricoides. Image courtesy of The Leiden University Medical Center, The Netherlands.",https://www.cdc.gov//dpdx/ascariasis/images/1/A_lumbricoides_infert_Leiden_B.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Fertilized egg,feces,Ascaris_egg_fert_embryo.jpg,"Fertilized egg of A. lumbricoides in unstained wet mounts of stool, with embryos in the early stage of development.",https://www.cdc.gov//dpdx/ascariasis/images/2/Ascaris_egg_fert_embryo.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Fertilized egg,feces,Ascaris_egg_fert2_embryo.jpg,"Fertilized egg of A. lumbricoides in unstained wet mounts of stool, with embryos in the early stage of development.",https://www.cdc.gov//dpdx/ascariasis/images/2/Ascaris_egg_fert2_embryo.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Fertilized egg,feces,Ascaris_egg_fert3_embryo_200x.jpg,"Fertilized egg of A. lumbricoides in an unstained wet mount of stool, undergoing early stages of cleavage. Image taken at 200x magnification.",https://www.cdc.gov//dpdx/ascariasis/images/2/Ascaris_egg_fert3_embryo_200x.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Fertilized egg,feces,Ascaris_fertile_BAM1.jpg,Fertilized egg of A. lumbricoides in an unstained wet mount of stool.,https://www.cdc.gov//dpdx/ascariasis/images/2/Ascaris_fertile_BAM1.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Fertilized egg,feces,Ascaris_egg_fert5_embryo_200x.jpg,"Fertilized egg of A. lumbricoides in an unstained wet mount of stool, 200x magnification. A larva is visible in the egg.",https://www.cdc.gov//dpdx/ascariasis/images/2/Ascaris_egg_fert5_embryo_200x.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,Fertilized egg,feces,Ascaris_egg_fert_200x.jpg,Fertilized egg of A. lumbricoides in an unstained wet mount of stool.,https://www.cdc.gov//dpdx/ascariasis/images/2/Ascaris_egg_fert_200x.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,fertile decorticated egg,feces,Ascaris_egg_fert_decort_200x.jpg,"A. lumbricoides decorticated, fertile egg in wet mounts, 200x magnification.",https://www.cdc.gov//dpdx/ascariasis/images/3/Ascaris_egg_fert_decort_200x.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,fertile decorticated egg,feces,Ascaris_egg_fert2_decort_200x.jpg,"A. lumbricoides decorticated, fertile egg in wet mounts, 200x magnification.",https://www.cdc.gov//dpdx/ascariasis/images/3/Ascaris_egg_fert2_decort_200x.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,fertile decorticated egg,feces,Ascaris_egg_fert3_decort_200x.jpg,"A. lumbricoides decorticated, fertile egg in a wet mount, 200x magnification. The embryo has advanced cleavage.",https://www.cdc.gov//dpdx/ascariasis/images/3/Ascaris_egg_fert3_decort_200x.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,fertile decorticated egg,feces,Ascaris_egg_fert4_decort_400x.jpg,"The same egg as in Figure C, but at 400x magnification.",https://www.cdc.gov//dpdx/ascariasis/images/3/Ascaris_egg_fert4_decort_400x.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,larva,lungs,Ascaris_egg_larva2.jpg,Larva of A. lumbricoides hatching from an egg.,https://www.cdc.gov//dpdx/ascariasis/images/4/Ascaris_egg_larva2.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,larva,lungs,Ascaris_egg_larva3.jpg,Larva of A. lumbricoides hatching from an egg.,https://www.cdc.gov//dpdx/ascariasis/images/4/Ascaris_egg_larva3.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,adult,small intenstine,Ascaris_female.jpg,Adult female A. lumbricoides.,https://www.cdc.gov//dpdx/ascariasis/images/5/Ascaris_female.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,adult,small intenstine,A_lumbricoides_adult_OrangeCounty.jpg,"Adult female A. lumbricoides. Image courtesy of the Orange County Public Health Laboratory, Santa Ana, CA.",https://www.cdc.gov//dpdx/ascariasis/images/5/A_lumbricoides_adult_OrangeCounty.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,adult,small intenstine,Ascaris_mouthparts_OrangeCounty.jpg,"Close-up of the anterior end of an adult A. lumbricoides. Note the three 'lips.' Image courtesy of the Orange County Public Health Laboratory, Santa Ana, CA.",https://www.cdc.gov//dpdx/ascariasis/images/5/Ascaris_mouthparts_OrangeCounty.jpg
