,phylum,class,genus,species,form,sample,image_name,image_info,image_url
0,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_wtmt_1000X_OR.jpg,Oocyst of C. cayetanensis in an unstained wet mount. Image courtesy of the Oregon State Public Health Laboratory.,https://www.cdc.gov//dpdx/cyclosporiasis/images/1/Cyclospora_wtmt_1000X_OR.jpg
1,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_wtmt2_1000X_OR.jpg,Oocyst of C. cayetanensis in an unstained wet mount. Image courtesy of the Oregon State Public Health Laboratory.,https://www.cdc.gov//dpdx/cyclosporiasis/images/1/Cyclospora_wtmt2_1000X_OR.jpg
2,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_wetmount_HB1.jpg,Oocyst of C. cayetanensis in an unstained wet mount of stool. Image taken at 1000x magnification.,https://www.cdc.gov//dpdx/cyclosporiasis/images/1/Cyclospora_wetmount_HB1.jpg
3,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_wetmount_HB2.jpg,Oocyst of C. cayetanensis in an unstained wet mount of stool. Image taken at 1000x magnification.,https://www.cdc.gov//dpdx/cyclosporiasis/images/1/Cyclospora_wetmount_HB2.jpg
4,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_trichrome_HB1.jpg,"Oocyst of C. cayetanensis? stained with trichrome; while the oocyst is visible, the staining characteristics are inadequate for a reliable diagnosis.",https://www.cdc.gov//dpdx/cyclosporiasis/images/2/Cyclospora_trichrome_HB1.jpg
5,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_trichrome_HB2.jpg,"Oocysts of C. cayetanensis stained with trichrome; while the oocyst is visible, the staining characteristics are inadequate for a reliable diagnosis.",https://www.cdc.gov//dpdx/cyclosporiasis/images/2/Cyclospora_trichrome_HB2.jpg
6,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_UV_Henry1.jpg,Oocyst of C. cayetanensis viewed under UV microscopy.,https://www.cdc.gov//dpdx/cyclosporiasis/images/3/Cyclospora_UV_Henry1.jpg
7,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_UV_Mike3.jpg,Oocyst of C. cayetanensis viewed under UV microscopy.,https://www.cdc.gov//dpdx/cyclosporiasis/images/3/Cyclospora_UV_Mike3.jpg
8,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_UV_Henry2.jpg,Oocyst of C. cayetanensis viewed under UV microscopy.,https://www.cdc.gov//dpdx/cyclosporiasis/images/3/Cyclospora_UV_Henry2.jpg
9,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_UV_Mike4.jpg,Oocyst of C. cayetanensis viewed under UV microscopy.,https://www.cdc.gov//dpdx/cyclosporiasis/images/3/Cyclospora_UV_Mike4.jpg
10,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_UV_Mike1.jpg,Oocyst of C. cayetanensis viewed under UV microscopy.,https://www.cdc.gov//dpdx/cyclosporiasis/images/3/Cyclospora_UV_Mike1.jpg
11,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_UV_Mike2.jpg,Oocyst of C. cayetanensis viewed under UV microscopy.,https://www.cdc.gov//dpdx/cyclosporiasis/images/3/Cyclospora_UV_Mike2.jpg
12,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_AF_Henry1.jpg,Oocysts of C. cayetanensis stained with modified acid-fast stain. Note the variability of staining in the four oocysts.,https://www.cdc.gov//dpdx/cyclosporiasis/images/4/Cyclospora_AF_Henry1.jpg
13,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_AF_AZ1.jpg,Two oocysts of C. cayetanensis stained with modified acid-fast stain. Both oocysts failed to take up the carbol fuschin stain. Image courtesy of the Arizona State Public Health Laboratory.,https://www.cdc.gov//dpdx/cyclosporiasis/images/4/Cyclospora_AF_AZ1.jpg
14,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_AF_AZ2.jpg,Oocysts of C. cayetanensis stained with modified acid-fast stain. Note the wrinkled edge and the lack of stain in the two oocysts. Image courtesy of the Arizona State Public Health Laboratory.,https://www.cdc.gov//dpdx/cyclosporiasis/images/4/Cyclospora_AF_AZ2.jpg
15,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_AF_Henry2.jpg,Oocyst of C. cayetanensis stained with modified acid-fast stain.,https://www.cdc.gov//dpdx/cyclosporiasis/images/4/Cyclospora_AF_Henry2.jpg
16,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_AF_Henry3.jpg,Oocysts of C. cayetanensis stained with modified acid-fast stain.,https://www.cdc.gov//dpdx/cyclosporiasis/images/4/Cyclospora_AF_Henry3.jpg
17,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_AF_Henry4.jpg,Oocysts of C. cayetanensis stained with modified acid-fast stain.,https://www.cdc.gov//dpdx/cyclosporiasis/images/4/Cyclospora_AF_Henry4.jpg
18,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_SAF_Henry1.jpg,Oocyst of C. cayetanensis stained with safranin (SAF).,https://www.cdc.gov//dpdx/cyclosporiasis/images/5/Cyclospora_SAF_Henry1.jpg
