,phylum,class,genus,species,form,sample,image_name,image_url
0,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,E_histodispar_2x2_A.jpg,https://www.cdc.gov//dpdx/amebiasis/images/1/E_histodispar_2x2_A.jpg
1,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,E_histodispar_2x2_B.jpg,https://www.cdc.gov//dpdx/amebiasis/images/1/E_histodispar_2x2_B.jpg
2,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,Ehistdisp_cyst_wtmt.jpg,https://www.cdc.gov//dpdx/amebiasis/images/1/Ehistdisp_cyst_wtmt.jpg
3,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,E_histodispar_2x2_C.jpg,https://www.cdc.gov//dpdx/amebiasis/images/1/E_histodispar_2x2_C.jpg
4,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,Ehistdisp_cyst_tric.jpg,https://www.cdc.gov//dpdx/amebiasis/images/2/Ehistdisp_cyst_tric.jpg
5,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,Ehistdisp_cyst_tric4.jpg,https://www.cdc.gov//dpdx/amebiasis/images/2/Ehistdisp_cyst_tric4.jpg
6,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,Ehistdisp_cyst_tric2.jpg,https://www.cdc.gov//dpdx/amebiasis/images/2/Ehistdisp_cyst_tric2.jpg
7,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,Ehistdisp_cyst_tric3.jpg,https://www.cdc.gov//dpdx/amebiasis/images/2/Ehistdisp_cyst_tric3.jpg
8,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,Ehisto_cyst_tric.jpg,https://www.cdc.gov//dpdx/amebiasis/images/3/Ehisto_cyst_tric.jpg
9,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,Ehistdisp_cyst_tric5_KS.jpg,https://www.cdc.gov//dpdx/amebiasis/images/3/Ehistdisp_cyst_tric5_KS.jpg
10,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,Ehistdisp_cyst_tric6_KS.jpg,https://www.cdc.gov//dpdx/amebiasis/images/3/Ehistdisp_cyst_tric6_KS.jpg
11,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Cyst,Wet mount,Ehistdisp_cyst_tric7_KS.jpg,https://www.cdc.gov//dpdx/amebiasis/images/3/Ehistdisp_cyst_tric7_KS.jpg
12,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehistdisp_troph_wtmt.jpg,https://www.cdc.gov//dpdx/amebiasis/images/4/Ehistdisp_troph_wtmt.jpg
13,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehistdisp_troph_wtmt2.jpg,https://www.cdc.gov//dpdx/amebiasis/images/4/Ehistdisp_troph_wtmt2.jpg
14,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehistdisp_troph_tric.jpg,https://www.cdc.gov//dpdx/amebiasis/images/5/Ehistdisp_troph_tric.jpg
15,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehistdisp_troph_tric2.jpg,https://www.cdc.gov//dpdx/amebiasis/images/5/Ehistdisp_troph_tric2.jpg
16,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehisto_troph_tric.jpg,https://www.cdc.gov//dpdx/amebiasis/images/5/Ehisto_troph_tric.jpg
17,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehisto_troph_tric2.jpg,https://www.cdc.gov//dpdx/amebiasis/images/5/Ehisto_troph_tric2.jpg
18,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehistdisp_troph_tric3_KS.jpg,https://www.cdc.gov//dpdx/amebiasis/images/5/Ehistdisp_troph_tric3_KS.jpg
19,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehisto_troph_tric3.jpg,https://www.cdc.gov//dpdx/amebiasis/images/6/Ehisto_troph_tric3.jpg
20,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehisto_troph_tric4.jpg,https://www.cdc.gov//dpdx/amebiasis/images/6/Ehisto_troph_tric4.jpg
21,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehisto_troph_tric5.jpg,https://www.cdc.gov//dpdx/amebiasis/images/6/Ehisto_troph_tric5.jpg
22,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehisto_troph_tric6.jpg,https://www.cdc.gov//dpdx/amebiasis/images/6/Ehisto_troph_tric6.jpg
23,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehisto_troph_tric7.jpg,https://www.cdc.gov//dpdx/amebiasis/images/6/Ehisto_troph_tric7.jpg
24,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Wet mount,Ehisto_troph_DIC_arrow,https://www.cdc.gov//dpdx/amebiasis/images/6/Ehisto_troph_DIC_arrow.jpg
25,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Intestinal,tissueA,https://www.cdc.gov//dpdx/amebiasis/images/7/tissueA.jpg
26,Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],Trophozoite,Intestinal,tissueB,https://www.cdc.gov//dpdx/amebiasis/images/7/tissueB.jpg
