phylum,class,genus,species,form,sample,image_name,image_info,image_url
Platyhelminthes,Rhabditophora,Fasciola,Fasciola hepatica,egg,feces,F_hepatica_egg_wtmt_HB1.jpg,"Egg of F. hepatica in an unstained wet mount, taken at 400x magnification.",https://www.cdc.gov//dpdx/fascioliasis/images/1/F_hepatica_egg_wtmt_HB1.jpg
Platyhelminthes,Rhabditophora,Fasciola,Fasciola hepatica,egg,feces,F_hepatica_egg_wtmt_HB2.jpg,"Egg of F. hepatica in an unstained wet mount, taken at 400x magnification.",https://www.cdc.gov//dpdx/fascioliasis/images/1/F_hepatica_egg_wtmt_HB2.jpg
Platyhelminthes,Rhabditophora,Fasciola,Fasciola hepatica,egg,feces,Fasciola_egg_2x2.jpg,Egg of F. hepatica in an unstained wet mount.,https://www.cdc.gov//dpdx/fascioliasis/images/1/Fasciola_egg_2x2.jpg
Platyhelminthes,Rhabditophora,Fasciola,Fasciola hepatica,adult,feces,Fasciola_adult_unstained1.jpg,Unstained adult of F. hepatica fixed in formalin.,https://www.cdc.gov//dpdx/fascioliasis/images/2/Fasciola_adult_unstained1.jpg
Platyhelminthes,Rhabditophora,Fasciola,Fasciola hepatica,adult,bile ducts,F_hepatica_adult_stained_BAM.jpg,Adult of F. hepatica stained with carmine.,https://www.cdc.gov//dpdx/fascioliasis/images/2/F_hepatica_adult_stained_BAM.jpg
Platyhelminthes,Rhabditophora,Fasciola,Fasciola hepatica,adult,bile ducts,Fasciola_ERCP_India_A.jpg,"Adult of F. hepatica observed with ERCP imaging in the common bile duct of a human patient. Image courtesy of Dr. Subhash Agal, Kokilaben Dhirubhai Ambani Hospital, Mumbai, India.",https://www.cdc.gov//dpdx/fascioliasis/images/3/Fasciola_ERCP_India_A.jpg
Platyhelminthes,Rhabditophora,Fasciola,Fasciola hepatica,adult,bile ducts,Fasciola_ERCP_India_B.jpg,"Adult of F. hepatica observed with ERCP imaging in the common bile duct of a human patient. Image courtesy of Dr. Subhash Agal, Kokilaben Dhirubhai Ambani Hospital, Mumbai, India.",https://www.cdc.gov//dpdx/fascioliasis/images/3/Fasciola_ERCP_India_B.jpg
Platyhelminthes,Rhabditophora,Fasciola,Fasciola hepatica,larva,snail,Galba_trunculata_Poppe.jpg,"Galba truncatula, the main intermediate host of F. hepatica throughout most of the fluke's natural range in Europe and western Asia. Image courtesy of Conchology, Inc, Mactan Island, Philippines.",https://www.cdc.gov//dpdx/fascioliasis/images/4/Galba_trunculata_Poppe.jpg
Platyhelminthes,Rhabditophora,Fasciola,Fasciola hepatica,larva,snail,Galba_humilis_Poppe.jpg,"Galba humilis, a host of F. hepatica in Canada and parts of the United States. Image courtesy of Conchology, Inc, Mactan Island, Philippines.",https://www.cdc.gov//dpdx/fascioliasis/images/4/Galba_humilis_Poppe.jpg
Platyhelminthes,Rhabditophora,Fasciola,Fasciola hepatica,larva,sanil,Fossaria_bulimoides_Poppe.jpg,"Fossaria bulamoides, a host for F. hepatica in the western United States. Image courtesy of Conchology, Inc, Mactan Island, Philippines.",https://www.cdc.gov//dpdx/fascioliasis/images/4/Fossaria_bulimoides_Poppe.jpg
Platyhelminthes,Rhabditophora,Fasciola,Fasciola hepatica,larva,sanil,Pseudosuccinea_columella_Poppe.jpg,"Pseudosuccinea columella, a lymnaeid snail that has been introduced into South America and serves as an intermediate host for F. hepatica in Venezuela and Colombia. Image courtesy of Conchology, Inc, Mactan Island, Philippines.",https://www.cdc.gov//dpdx/fascioliasis/images/4/Pseudosuccinea_columella_Poppe.jpg
