phylum,class,genus,species,form,sample,image_name,image_info,image_url
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis diminuta,egg,feces,H_diminuta_egg_wtmt1.jpg,Egg of H. diminuta in a wet mount stained with iodine. Four of the hooks are visible at this level of focus. Image courtesy of the Georgia Department of Public Health.,https://www.cdc.gov//dpdx/hymenolepiasis/images/1/H_diminuta_egg_wtmt1.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis diminuta,egg,feces,H_diminuta_eggs_BAM3.jpg,Egg of H. diminuta in an unstained wet mount of concentrated stool. Image taken at 400x magnification.,https://www.cdc.gov//dpdx/hymenolepiasis/images/1/H_diminuta_eggs_BAM3.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis diminuta,egg,feces,H_diminuta_egg_wtmt2.jpg,Egg of H. diminuta in a wet mount stained with iodine. Four of the hooks are visible at this level of focus.,https://www.cdc.gov//dpdx/hymenolepiasis/images/1/H_diminuta_egg_wtmt2.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis diminuta,egg,feces,H_diminuta_eggs_BAM4.jpg,Egg of H. diminuta in an unstained wet mount of concentrated stool. Image taken at 400x magnification.,https://www.cdc.gov//dpdx/hymenolepiasis/images/1/H_diminuta_eggs_BAM4.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis diminuta,egg,feces,H_diminuta_eggs_BAM1.jpg,Eggs of H. diminuta in an unstained wet mount of concentrated stool. Image taken at 200x magnification.,https://www.cdc.gov//dpdx/hymenolepiasis/images/1/H_diminuta_eggs_BAM1.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis diminuta,egg,feces,H_diminuta_eggs_BAM2.jpg,Higher magnification (400x) of one of the eggs in Figure C.,https://www.cdc.gov//dpdx/hymenolepiasis/images/1/H_diminuta_eggs_BAM2.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis nana,egg,feces,H_nana_egg_wtmt5.jpg,Egg of H. nana in an unstained wet mount. Note the presence of hooks in the oncosphere and polar filaments within the space between the oncosphere and outer shell.,https://www.cdc.gov//dpdx/hymenolepiasis/images/2/H_nana_egg_wtmt5.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis nana,egg,feces,H_nana_egg_wtmt1.jpg,"Egg of H. nana in an unstained wet mount. In this image, the polar filaments in the space between the oncosphere and outer shell are clearly visible.",https://www.cdc.gov//dpdx/hymenolepiasis/images/2/H_nana_egg_wtmt1.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis nana,egg,feces,H_nana_egg_wtmt4.jpg,Egg of H. nana in an unstained wet mount. Note the presence of hooks in the oncosphere and polar filaments within the space between the oncosphere and outer shell.,https://www.cdc.gov//dpdx/hymenolepiasis/images/2/H_nana_egg_wtmt4.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis nana,egg,feces,H_nana_egg_wtmt2.jpg,"Egg of H. nana in an unstained wet mount. In this image, the polar filaments in the space between the oncosphere and outer shell are clearly visible.",https://www.cdc.gov//dpdx/hymenolepiasis/images/2/H_nana_egg_wtmt2.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis nana,egg,feces,H_nana_HB2010.jpg,Egg of H. nana in an unstained wet mount.,https://www.cdc.gov//dpdx/hymenolepiasis/images/2/H_nana_HB2010.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis nana,egg,feces,H_nana_egg_wtmt_OR.jpg,"Egg of H. nana in an unstained formalin ethyl acetate (FEA) wet mount. In this image, four of the hooks in the oncosphere are clearly visible. Image courtesy of the Oregon State Public Health Laboratory.",https://www.cdc.gov//dpdx/hymenolepiasis/images/2/H_nana_egg_wtmt_OR.jpg
