phylum,class,genus,species,form,sample,image_name,image_info,image_url
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thickA.jpg,Rings of P. falciparum in a thick blood smear.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thickA.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thickD.jpg,Rings of P. falciparum in a thick blood smear.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thickD.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thinA.jpg,Rings of P. falciparum in a thin blood smear.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thinA.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thinD.jpg,Rings of P. falciparum in a thin blood smear.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thinD.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thickB.jpg,Rings of P. falciparum in a thick blood smear.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thickB.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thickE.jpg,Rings of P. falciparum in a thick blood smear.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thickE.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thinB.jpg,Rings of P. falciparum in a thin blood smear.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thinB.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thinE.jpg,Rings of P. falciparum in a thin blood smear.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thinE.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thickC.jpg,Rings of P. falciparum in a thick blood smear.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thickC.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thickF.jpg,Rings of P. falciparum in a thick blood smear.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thickF.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thinC.jpg,Rings of P. falciparum in a thin blood smear.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thinC.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Rings,Blood,Pf_rings_thinF_AZPHL.jpg,Rings of P. falciparum in a thin blood smear. Image courtesy of the Arizona State Public Health Laboratory.,https://www.cdc.gov//dpdx/malaria/images/1/Pf_rings_thinF_AZPHL.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_MaurersA.jpg,"Ring-form trophozoites of P. falciparum in a thin blood smear, exhibiting Maurer's clefts.",https://www.cdc.gov//dpdx/malaria/images/2/Pf_MaurersA.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_MaurersE.jpg,"Ring-form trophozoites of P. falciparum in a thin blood smear, exhibiting Maurer's clefts.",https://www.cdc.gov//dpdx/malaria/images/2/Pf_MaurersE.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_MaurersB.jpg,"Ring-form trophozoites of P. falciparum in a thin blood smear, exhibiting Maurer's clefts.",https://www.cdc.gov//dpdx/malaria/images/2/Pf_MaurersB.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_MaurersF.jpg,"Ring-form trophozoites of P. falciparum in a thin blood smear, exhibiting Maurer's clefts.",https://www.cdc.gov//dpdx/malaria/images/2/Pf_MaurersF.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_MaurersC.jpg,"Ring-form trophozoites of P. falciparum in a thin blood smear, exhibiting Maurer's clefts.",https://www.cdc.gov//dpdx/malaria/images/2/Pf_MaurersC.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_MaurersD.jpg,"Ring-form trophozoites of P. falciparum in a thin blood smear, exhibiting Maurer's clefts.",https://www.cdc.gov//dpdx/malaria/images/2/Pf_MaurersD.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_troph_thickA.jpg,Trophozoites of P. falciparum in a thick blood smear.,https://www.cdc.gov//dpdx/malaria/images/3/Pf_troph_thickA.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_troph_thinD.jpg,Trophozoites of P. falciparum in a thin blood smear.,https://www.cdc.gov//dpdx/malaria/images/3/Pf_troph_thinD.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_troph_thinA.jpg,Trophozoite of P. falciparum in a thin blood smear.,https://www.cdc.gov//dpdx/malaria/images/3/Pf_troph_thinA.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_troph_thinE.jpg,Trophozoites of P. falciparum in a thin blood smear.,https://www.cdc.gov//dpdx/malaria/images/3/Pf_troph_thinE.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_troph_thinB.jpg,Trophozoite of P. falciparum in a thin blood smear.,https://www.cdc.gov//dpdx/malaria/images/3/Pf_troph_thinB.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,Trophozoites,Blood,Pf_troph_thinC.jpg,"Trophozoite of P. falciparum in a thin blood smear. In this figure, a gametocyte can also be seen in the upper half of the image.",https://www.cdc.gov//dpdx/malaria/images/3/Pf_troph_thinC.jpg
