,phylum,class,genus,species,form,sample,image_name,image_info,image_url
0,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,Fecal,S_stercoralis_rhabditoid_BAM8.jpg,L1 rhabditiform larva of S. stercoralis in unstained wet mounts of stool. Note the short buccal canal and the genital primordium (red arrow).,https://www.cdc.gov//dpdx/strongyloidiasis/images/1/S_stercoralis_rhabditoid_BAM8.jpg
1,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,Fecal,S_stercoralis_rhabditoid_BAM1.jpg,"L2 rhabditiform larva of S. stercoralis in unstained wet mounts of stool. Note the short buccal canal and the genital primordium (red arrows), but longer intestinal tract than seen in an L1.",https://www.cdc.gov//dpdx/strongyloidiasis/images/1/S_stercoralis_rhabditoid_BAM1.jpg
2,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,Fecal,S_stercoralis_rhabditoid_anterior_BAM1.jpg,"Close-up of the anterior end of a rhabditiform larva of S. stercoralis, showing the short buccal canal (red arrow) and the bulbar portion of the rhabditoid esophagus, also called the median bulb (blue arrow). Image taken at 1000x oil magnification.",https://www.cdc.gov//dpdx/strongyloidiasis/images/1/S_stercoralis_rhabditoid_anterior_BAM1.jpg
3,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,Fecal,S_stercoralis_rhabditoid_BAM7.jpg,Rhabditiform larva of S. stercoralis in an unstained wet mount of stool. Note the short buccal canal and the genital primordium (red arrow).,https://www.cdc.gov//dpdx/strongyloidiasis/images/1/S_stercoralis_rhabditoid_BAM7.jpg
4,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,Fecal,S_stercoralis_rhabditoid_BAM10.jpg,Rhabditiform larva of S. stercoralis in an unstained wet mount of stool. Note the esophageal bulb (blue arrow) and prominent genital primordium (red arrow).,https://www.cdc.gov//dpdx/strongyloidiasis/images/1/S_stercoralis_rhabditoid_BAM10.jpg
5,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,Fecal,S_stercoralis_rhabditoid_BAM9.jpg,"Rhabditiform larva of S. stercoralis in an unstained wet mount of stool. Note the prominent genital primordium (blue arrow), esophageal bulb (red arrow) and short buccal canal (green arrow).",https://www.cdc.gov//dpdx/strongyloidiasis/images/1/S_stercoralis_rhabditoid_BAM9.jpg
6,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,na,S_stercoralis_filariform_BAM1.jpg,Filariform (L3) larva of S. stercoralis in an unstained wet mount.,https://www.cdc.gov//dpdx/strongyloidiasis/images/2/S_stercoralis_filariform_BAM1.jpg
7,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,Sputum,S_stercoralis_filariform_HB1.jpg,"Autoinfective (L4) larva of S. stercoralis in a sputum specimen, stained with Giemsa. Image taken at 200x magnification.",https://www.cdc.gov//dpdx/strongyloidiasis/images/2/S_stercoralis_filariform_HB1.jpg
8,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,Sputum,S_stercoralis_filariform_HB2.jpg,Higher magnification (1000x oil) of the L4 larva in Figure B. Note the notched tail.,https://www.cdc.gov//dpdx/strongyloidiasis/images/2/S_stercoralis_filariform_HB2.jpg
9,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Adult,na,S_stercoralis_male_BAM1.jpg,Free-living adult male S. stercoralis. Note the presence of the spicule (red arrow).,https://www.cdc.gov//dpdx/strongyloidiasis/images/3/S_stercoralis_male_BAM1.jpg
10,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Adult,na,S_stercoralis_adult_larva_BAM1.jpg,"Free living adult male S. stercoralis, showing a spicule (red arrow). A smaller, rhabditiform larva lies adjacent to the adult male.",https://www.cdc.gov//dpdx/strongyloidiasis/images/3/S_stercoralis_adult_larva_BAM1.jpg
11,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Adult,na,S_stercoralis_adult_larva_BAM2.jpg,Adult free-living female S. stercoralis alongside a smaller rhabditiform larva. Note the developing eggs in the adult female.,https://www.cdc.gov//dpdx/strongyloidiasis/images/3/S_stercoralis_adult_larva_BAM2.jpg
12,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Adult,na,S_stercoralis_female_BAM1.jpg,Adult free-living female S. stercoralis. Note the row of eggs within the female’s body.,https://www.cdc.gov//dpdx/strongyloidiasis/images/3/S_stercoralis_female_BAM1.jpg
13,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Adult,Fecal,OLYMPUS DIGITAL CAMERA,Parasitic adult female of S. stercoralis.,https://www.cdc.gov//dpdx/strongyloidiasis/images/3.5/Strongy_A.jpg
14,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Adult,Fecal,OLYMPUS DIGITAL CAMERA,"Another field showing a parasitic female (black arrow), rhabditiform larvae (darts), and a cluster of eggs (white arrow).",https://www.cdc.gov//dpdx/strongyloidiasis/images/3.5/Strongy_B.jpg
15,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,Fecal,Strongy_C,A cluster of eggs from the same stool specimen. Note the rhabditiform larvae within.,https://www.cdc.gov//dpdx/strongyloidiasis/images/3.5/Strongy_C.jpg
16,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Adult,Intestinal,S_stercoralis_HE_200x_BAM1.jpg,"Cross-sections of adult parasitic female S. stercoralis (blue arrows) in small intestine tissue, stained with H&E. Image taken at 200x magnification.",https://www.cdc.gov//dpdx/strongyloidiasis/images/4/S_stercoralis_HE_200x_BAM1.jpg
17,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Adult,Intestinal,Strongyloides_duodenal_biopsy_HE200x.jpg,"Sections of S. stercoralis from a duodenal biopsy specimen, stained with H&E. Although strongyloidiasis could not be confirmed based on microscopy alone, this case was confirmed using molecular methods (PCR). Image taken at 200x magnification.",https://www.cdc.gov//dpdx/strongyloidiasis/images/4/Strongyloides_duodenal_biopsy_HE200x.jpg
18,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Adult,Intestinal,S_stercoralis_HE_1000x_BAM1.jpg,Higher magnification (1000x oil) of an adult parasitic female of S. stercoralis from the same specimen as Figure A. Note the intestine (red arrow) and ovaries (blue arrows).,https://www.cdc.gov//dpdx/strongyloidiasis/images/4/S_stercoralis_HE_1000x_BAM1.jpg
19,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Adult,Intestinal,S_stercoralis_HE_1000x_BAM3.jpg,"Higher magnification (1000x oil) of a gravid adult parasitic female of S. stercoralis from the same specimen as Figure A. Note the intestine (blue arrow), ovary (red arrow) and an egg within the uterus (green arrow).",https://www.cdc.gov//dpdx/strongyloidiasis/images/4/S_stercoralis_HE_1000x_BAM3.jpg
20,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,Intestinal,S_stercoralis_intbiopsy_1000x_BAM1.jpg,"Cross-sections of S. stercoralis larvae in an intestinal biopsy specimen, stained with H&E. Image taken at 1000x oil magnification. The patient developed strongyloidiasis following transplant of an infected kidney.",https://www.cdc.gov//dpdx/strongyloidiasis/images/4/S_stercoralis_intbiopsy_1000x_BAM1.jpg
21,Nematoda,Chromadorea,Strongyloides,Strongyloides stercoralis,Larva,Intestinal,S_stercoralis_intbiopsy_400x_BAM1.jpg,Longitudinal-section of a larva of S. stercoralis from the same specimen as Figure E. Image taken at 400x magnification.,https://www.cdc.gov//dpdx/strongyloidiasis/images/4/S_stercoralis_intbiopsy_400x_BAM1.jpg
22,Nematoda,Chromadorea,Strongyloides,Strongyloides fuelleborni,Egg,Fecal,Sf,"S. fuelleborni subsp. fuelleborni egg from the feces of a naturally-infected primate, iodine stained. Note the rhabditiform larva in an early, cleaved, stage of development.",https://www.cdc.gov//dpdx/strongyloidiasis/images/6/Sf.jpg
23,Nematoda,Chromadorea,Strongyloides,Strongyloides fuelleborni,Egg,Fecal,SfA,S. fuelleborni subsp. fuelleborni egg from the feces of a naturally-infected primate.,https://www.cdc.gov//dpdx/strongyloidiasis/images/6/SfA.jpg
24,Nematoda,Chromadorea,Strongyloides,Strongyloides fuelleborni,Egg,Fecal,SfB,S. fuelleborni subsp. fuelleborni egg from the feces of a naturally-infected primate).,https://www.cdc.gov//dpdx/strongyloidiasis/images/6/SfB.jpg
