phylum,class,genus,species,form,sample,image_name,image_info,image_url
Nematoda,Chromadorea,Toxocara,Toxocara canis,egg,feces,Toxocara_egg_wtmt.jpg,"Toxocara sp. egg teased from an adult worm. The worm was never identified, but the egg size is most consistent with T. cati. Image courtesy of the New Jersey State Public Health Laboratory.",https://www.cdc.gov//dpdx/toxocariasis/images/1/Toxocara_egg_wtmt.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,egg,feces,Toxocara_egg_wtmt2.jpg,"Toxocara sp. egg teased from an adult worm. The worm was never identified, but the egg size is most consistent with T. cati. Image courtesy of the New Jersey State Public Health Laboratory.",https://www.cdc.gov//dpdx/toxocariasis/images/1/Toxocara_egg_wtmt2.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,egg,feces,Toxocara_egg_wtmt4_AK.jpg,"Toxocara sp. egg at 400× magnification, approximately 75 µm.",https://www.cdc.gov//dpdx/toxocariasis/images/1/Toxocara_egg_wtmt4_AK.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,larva,tissue,Toxocara_egglarva.jpg,Toxocara canis larva beginning to hatch.,https://www.cdc.gov//dpdx/toxocariasis/images/2/Toxocara_egglarva.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,larva,tissue,Toxocara_egglarva2.jpg,T. canis larva hatching.,https://www.cdc.gov//dpdx/toxocariasis/images/2/Toxocara_egglarva2.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,larva,tissue,Toxocara_larva.jpg,T. canis larva.,https://www.cdc.gov//dpdx/toxocariasis/images/2/Toxocara_larva.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,adult,large intestine,Toxo_m_f,Toxocara canis adult male and female.,https://www.cdc.gov//dpdx/toxocariasis/images/3/Toxo_m_f.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,adult,large intestine,Toxocara_worm_anterior.jpg,"Close-up of the anterior end of Toxocara canis, showing the three lips characteristic of ascarid worms. Image courtesy of the New Jersey State Public Health Laboratory.",https://www.cdc.gov//dpdx/toxocariasis/images/3/Toxocara_worm_anterior.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,adult,large intestine,Toxocara_worm2_anterior.jpg,"Close-up of the anterior end of Toxocara cati, showing the three lips characteristic of ascarid worms.",https://www.cdc.gov//dpdx/toxocariasis/images/3/Toxocara_worm2_anterior.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,adult,large intestine,Toxocara_worm3_anterior.jpg,"Side view of Image C, showing the broad alae with striations, characteristic of T. cati.",https://www.cdc.gov//dpdx/toxocariasis/images/3/Toxocara_worm3_anterior.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,adult,large intestine,Toxocara_worm_posterior.jpg,"Close-up of the posterior end of T. cati, showing a prominent digitiform point at the posterior extremity.",https://www.cdc.gov//dpdx/toxocariasis/images/3/Toxocara_worm_posterior.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,adult,large intestine,Toxocara_worm2_posterior.jpg,Close-up of the posterior end of Toxocara sp. Image courtesy of the New Jersey State Public Health Laboratories.,https://www.cdc.gov//dpdx/toxocariasis/images/3/Toxocara_worm2_posterior.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,larva,liver tissue,Toxocara_larvae_he.jpg,Cross-section of Toxocara sp. larvae in liver tissue stained with hematoxylin and eosin (H&E).,https://www.cdc.gov//dpdx/toxocariasis/images/4/Toxocara_larvae_he.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,larva,liver tissue,Toxocara_larva2_he.jpg,Longitudinal section of a Toxocara sp. larva in liver tissue stained with H&E.,https://www.cdc.gov//dpdx/toxocariasis/images/4/Toxocara_larva2_he.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,larva,lung tissue,Toxocara_larva3_he.jpg,Longitudinal section of a Toxocara sp. larva in lung tissue stained with H&E.,https://www.cdc.gov//dpdx/toxocariasis/images/4/Toxocara_larva3_he.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,larva,liver tissue,Toxo_canis_liver,Figure D. Toxocara canis longitudinal section (arrow) in the liver of an infected monkey. Note the prominent granulomatous reaction and host infiltrate around the larva (20x magnification).,https://www.cdc.gov//dpdx/toxocariasis/images/4/Toxo_canis_liver.jpg
Nematoda,Chromadorea,Toxocara,Toxocara canis,larva,liver tissue,Toxo_cati_alae,"Cross-section of a larva of T. cati, showing prominent lateral alae (arrows). Diameter is 15 µm.",https://www.cdc.gov//dpdx/toxocariasis/images/4/Toxo_cati_alae.jpg
