,phylum,class,genus,species,form,sample,image_name,image_url
0,Roundworms,Enoplea,Trichinella,Trichinella sp.,Encysted larvae,muscle tissue,Trichinella_BAM1.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/1/Trichinella_BAM1.jpg
1,Roundworms,Enoplea,Trichinella,Trichinella sp.,Encysted larvae,muscle tissue,Trichinella_BAM5b.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/1/Trichinella_BAM5b.jpg
2,Roundworms,Enoplea,Trichinella,Trichinella sp.,Encysted larvae,muscle tissue,Trichinella_BAM2.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/1/Trichinella_BAM2.jpg
3,Roundworms,Enoplea,Trichinella,Trichinella sp.,Encysted larvae,muscle tissue,Trichinella_BAM3.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/1/Trichinella_BAM3.jpg
4,Roundworms,Enoplea,Trichinella,Trichinella sp.,Encysted larvae,muscle tissue,Trichinella_BAM4.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/1/Trichinella_BAM4.jpg
5,Roundworms,Enoplea,Trichinella,Trichinella sp.,larvae,muscle tissue,Trichinella_rat_BAM1.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/2/Trichinella_rat_BAM1.jpg
6,Roundworms,Enoplea,Trichinella,Trichinella sp.,larvae,muscle tissue,Trichinella_rat_BAM2.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/2/Trichinella_rat_BAM2.jpg
7,Roundworms,Enoplea,Trichinella,Trichinella sp.,larvae,bear meat,Trichinella_HBa.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_HBa.jpg
8,Roundworms,Enoplea,Trichinella,Trichinella sp.,larvae,bear meat,Trichinella_larvaeF.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_larvaeF.jpg
9,Roundworms,Enoplea,Trichinella,Trichinella sp.,larvae,bear meat,Trichinella_HBb.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_HBb.jpg
10,Roundworms,Enoplea,Trichinella,Trichinella sp.,larvae,bear meat,Trichinella_larvaeG.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_larvaeG.jpg
11,Roundworms,Enoplea,Trichinella,Trichinella sp.,larvae,bear meat,Trichinella_HBc.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_HBc.jpg
12,Roundworms,Enoplea,Trichinella,Trichinella sp.,larvae,bear meat,Trichinella_HBd.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_HBd.jpg
