phylum,class,genus,species,form,sample,image_name,image_info,image_url
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,Egg,Fecal,Trichuris_trichiura_egg1.jpg,Egg of T. trichiura in an iodine-stained wet mount.,https://www.cdc.gov//dpdx/trichuriasis/images/1/Trichuris_trichiura_egg1.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,Egg,Fecal,Trichuris_trichiura_egg_UV1.jpg,Egg of T. trichiura viewed with UV microscopy.,https://www.cdc.gov//dpdx/trichuriasis/images/1/Trichuris_trichiura_egg_UV1.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,Egg,Fecal,Trichuris_trichiura_egg2.jpg,Egg of T. trichiura in an unstained wet mount.,https://www.cdc.gov//dpdx/trichuriasis/images/1/Trichuris_trichiura_egg2.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,Egg,Fecal,Trichuris_and_Ecoli_HB.jpg,Egg of T. trichiura in an unstained wet mount of stool. Notice also the presence of a cyst of Entamoeba coli (arrow).,https://www.cdc.gov//dpdx/trichuriasis/images/1/Trichuris_and_Ecoli_HB.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,Egg,Fecal,Trichuris_trichiura_egg3.jpg,Egg of T. trichiura in an unstained wet mount.,https://www.cdc.gov//dpdx/trichuriasis/images/1/Trichuris_trichiura_egg3.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,Egg,Fecal,Trichuris_trichiura_egg4.jpg,"Eggs of T. trichiura in a wet mount, showing variability in size in the species.",https://www.cdc.gov//dpdx/trichuriasis/images/1/Trichuris_trichiura_egg4.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,Egg,Fecal,Trichuris_trichiura_egg_atypical1.jpg,Atypical egg of T. trichiura.,https://www.cdc.gov//dpdx/trichuriasis/images/2/Trichuris_trichiura_egg_atypical1.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,Egg,Fecal,Trichuris_trichiura_egg_atypical2.jpg,Atypical egg of T. trichiura.,https://www.cdc.gov//dpdx/trichuriasis/images/2/Trichuris_trichiura_egg_atypical2.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,Egg,Fecal,Trichuris_trichiura_egg_atypical3.jpg,Atypical egg of T. trichiura.,https://www.cdc.gov//dpdx/trichuriasis/images/2/Trichuris_trichiura_egg_atypical3.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,Adult,Intestinal,Trichuris_trichiura_egg_HE_OR1.jpg,"Cross-section of a gravid female T. trichiura stained with Hamp;E, showing numerous eggs. Magnification at 100x. Image courtesy of the Oregon State Public Heath Laboratory.",https://www.cdc.gov//dpdx/trichuriasis/images/3/Trichuris_trichiura_egg_HE_OR1.jpg
