phylum,class,genus,species,form,sample,image_name,image_url,img_path
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestinal tissue,Evermicularis_worm4_HB.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/1/Enterobius_cellulosetape.jpg,./Dataset/Enterobius/Evermicularis_worm4_HB.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestinal tissue,Evermicularis_egg_HBa.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/1/Evermicularis_egg_HBa.jpg,./Dataset/Enterobius/Evermicularis_egg_HBa.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestinal tissue,Evermicularis_egg_wtmt.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/1/Evermicularis_egg_wtmt.jpg,./Dataset/Enterobius/Evermicularis_egg_wtmt.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestinal tissue,Evermicularis_SC_egg.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/1/Evermicularis_SC_egg.jpg,./Dataset/Enterobius/Evermicularis_SC_egg.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestinal tissue,Evermicularis_egg_UVa.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/1/Evermicularis_egg_UVa.jpg,./Dataset/Enterobius/Evermicularis_egg_UVa.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestinal tissue,Evermicularis_egg_UVb.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/1/Evermicularis_egg_UVb.jpg,./Dataset/Enterobius/Evermicularis_egg_UVb.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestinal tissue,Evermicularis_adult2_Norway.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/2/Evermicularis_adult2_Norway.jpg,./Dataset/Enterobius/Evermicularis_adult2_Norway.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestinal tissue,Evermicularis_adult_anterior_Norway.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/2/Evermicularis_adult_anterior_Norway.jpg,./Dataset/Enterobius/Evermicularis_adult_anterior_Norway.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestinal tissue,Evermicularis_adult_posterior_Norway.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/2/Evermicularis_adult_posterior_Norway.jpg,./Dataset/Enterobius/Evermicularis_adult_posterior_Norway.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestinal tissue,Ent_f,https://www.cdc.gov//dpdx/enterobiasis/images/2/Ent_f.jpg,./Dataset/Enterobius/Ent_f
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestinal tissue,Ent_m_f,https://www.cdc.gov//dpdx/enterobiasis/images/2/Ent_m_f.jpg,./Dataset/Enterobius/Ent_m_f
